time,y1,y2
0.152,4.95,4.95
1.5729999999999997,4.95,4.95
1.9319999999999997,4.95,4.95
2.304,4.95,4.95
2.6689999999999996,4.95,4.95
3.0379999999999994,4.95,4.95
3.4079999999999995,4.95,4.95
3.7739999999999996,4.95,4.95
4.141,4.95,4.95
4.506,4.95,4.95
4.876,4.95,4.95
5.248,4.95,4.95
5.607,4.95,4.95
5.978,4.95,4.95
6.348,4.95,4.95
6.718,4.95,4.95
7.088,4.95,4.95
7.459,4.95,4.95
7.827999999999999,4.95,4.95
8.200999999999999,4.95,4.95
8.568999999999999,4.95,4.95
8.937999999999999,4.95,4.95
9.305,4.95,4.95
9.674,4.95,4.95
10.042,4.95,4.95
10.405,4.95,4.95
10.774,4.95,4.95
11.143999999999998,4.95,4.95
11.511999999999999,4.95,4.95
11.878999999999998,4.95,4.95
12.246999999999998,4.95,4.95
12.612999999999998,4.95,4.95
12.980999999999998,4.95,4.95
13.350999999999997,4.95,4.95
13.714999999999998,4.95,4.95
14.080999999999998,4.95,4.95
14.449999999999998,4.95,4.95
14.816999999999997,4.95,4.95
15.183999999999997,4.95,4.95
15.554999999999998,4.95,4.95
15.924999999999997,4.95,4.95
16.295999999999996,4.95,4.95
16.662999999999997,4.95,4.95
17.029999999999998,4.95,4.95
17.4,4.95,4.95
17.769,4.95,4.95
18.139999999999997,4.95,4.95
18.505999999999997,4.95,4.95
18.876999999999995,4.95,4.95
19.243999999999996,4.95,4.95
19.603999999999996,4.95,4.95
19.961999999999996,4.95,4.95
20.330999999999996,4.95,4.95
20.702999999999996,4.95,4.95
21.075999999999997,4.95,4.95
21.440999999999995,4.95,4.95
21.808999999999994,4.95,4.95
22.177999999999994,4.95,4.95
22.542999999999992,4.95,4.95
22.914999999999992,4.95,4.95
23.281999999999993,4.95,4.95
23.651999999999994,4.95,4.95
24.020999999999994,4.95,4.95
24.394999999999992,4.95,4.95
24.764999999999993,4.95,4.95
25.138999999999992,4.95,4.95
25.513999999999992,4.95,4.95
25.88499999999999,4.95,4.95
26.257999999999992,4.95,4.95
26.62599999999999,4.95,4.95
26.99699999999999,4.95,4.95
27.36999999999999,4.95,4.95
27.73699999999999,4.95,4.95
28.10799999999999,4.95,4.95
28.47699999999999,4.95,4.95
28.84799999999999,4.95,4.95
29.21499999999999,4.95,4.95
29.582999999999988,4.95,4.95
29.950999999999986,4.95,4.95
30.319999999999986,4.95,4.95
30.688999999999986,4.95,4.95
31.057999999999986,4.95,4.95
31.425999999999984,4.95,4.95
31.796999999999983,4.95,4.95
32.16699999999998,4.95,4.95
32.52999999999998,4.95,4.95
32.89999999999998,4.95,4.95
33.26899999999998,4.95,4.95
33.63999999999998,4.95,4.95
34.00999999999998,4.95,4.95
34.37899999999998,4.95,4.95
