time,u
0,23.0
2.785,23.0
4.671,23.0
6.517,23.0
8.441,23.0
10.365,23.0
12.196,23.0
14.016,23.0
15.844,23.0
17.66,23.0
19.48,23.0
21.568,23.0
23.507,23.0
25.439,23.0
27.324,23.0
29.321,23.0
31.241,23.0
33.099,23.0
